Country,OECD,Child_Marriage_Law,Household_Responsibilities_Law,Divorce_Law,Inheritance_Law,Violence_Against_Women_Law,Female_Genital_Mutilation_Law,Reproductive_Autonomy_Law,Access_to_Land_Assets_Law,Access_to_NonLand_Assets_Law,Access_to_Formal_Financial_Services_Law,Workplace_Rights_Law,Citizenship_Rights_Law,Political_Voice_Law,Freedom_of_Movement_Law,Access_to_Justice_Law
North Macedonia,0,0.5,0.5,0,0.25,0.75,1,0,0.25,0,0,0,0,0.25,0,0.25
Gabon,0,1,0.75,0.25,0.25,0.75,0.75,1,0.25,0.25,1,1,0,0,0.75,0.25
Gambia,0,0.5,1,1,1,0.5,0.25,0.75,0.5,0.5,0,1,0,0.5,0.75,0.75
Georgia,0,0.5,0.5,0.25,0.25,0.75,1,0,0.25,0.25,0.25,0.75,0,0.25,0,0
Ghana,0,0.5,0.5,0.75,0.75,0.75,0.25,0.25,0.25,0.5,0,0.75,0,0.5,0,0.25
Grenada,0,0.5,0.75,0.75,0.25,0.75,1,0.75,0,0,0.25,0.75,0.25,0.5,0.75,0.25
Guatemala,0,0.25,0.5,0,0.25,0.75,1,0.75,0.25,0.25,0.25,0,0.75,0.25,0,0
Guinea,0,1,1,1,0.75,0.75,0.25,0.5,0.25,0,0.25,1,1,0,0,0.25
Guinea-Bissau,0,0.5,0.75,0.5,0.75,0.75,0.75,1,1,1,1,1,0,0.5,0,0.25
Guyana,0,0.5,0.5,0,0,0.75,1,0,0.25,0.25,0.25,0.25,0,0.25,0.75,0
Haiti,0,1,0.5,0,0.25,0.75,1,1,0.25,0.25,0,0,1,0.25,0.75,0
Honduras,0,0.5,0.5,0,0,0.25,1,1,0.25,0,0.25,1,0,0,0,0
"  Hong Kong, China",0,0.5,0.5,0,0,0.75,1,0.25,0,0,0,0.75,0,0.5,0,0
India,0,0.5,0.5,0.5,0.5,0.5,1,0.25,0.25,0.25,0.25,1,0,0.25,0,0.25
Indonesia,0,0.5,0.75,0.25,1,0.75,1,0.5,0.5,0.25,0.25,0.75,0,0.25,0.25,1
Iran,0,0.75,1,1,1,0.75,1,0.75,0,0,0,1,1,0.5,1,0.75
Iraq,0,0.5,1,1,1,0.75,1,0.75,0.25,0.25,0,1,0.75,0.25,0.75,0.75
Jamaica,0,0.75,0.5,0.25,0,0.75,1,0.75,0.25,0,0.25,0.75,0,0.5,0,0
Jordan,0,0.5,1,1,1,0.75,1,0.75,0.25,0.25,0.25,1,0.75,0.25,1,0.75
Kazakhstan,0,0.5,0.5,0,0,0.75,1,0,0.25,0.25,0.25,1,0,0.5,0,0.25
Kenya,0,0.25,0.5,0.5,0.75,0.5,0.25,0.75,0.5,0.5,0.25,0.25,0,0.25,0,0.25
Kuwait,0,0.75,0.75,0.75,1,0.75,1,0.75,1,1,0.5,1,1,0.5,0.5,0.75
Kyrgyzstan,0,0.5,0.5,0,0.25,0.75,1,0,0.25,0.25,0,1,0,0,0,0
Lao People's Democratic Republic,0,0.25,0.5,0.25,0.25,0.25,1,0.75,0,0,0.25,1,0,0.5,0,0.75
Lebanon,0,0.75,1,1,0.75,0.75,1,0.75,0.5,0.25,0.25,1,1,0.5,0,0.75
Lesotho,0,0.5,0.5,0.5,0.5,0.75,1,0.5,0.25,0.5,0.5,1,0.75,0.25,0,0
Liberia,0,0.5,0.75,0.75,0.5,0.75,1,0.25,0.5,0.5,0.25,0.25,0.75,0.25,0,0.75
Libya,0,0.5,0.75,0.25,0.25,0.75,1,0.75,0.25,0.25,0,1,0.75,0.25,0.25,0.75
Madagascar,0,0.5,0.75,0.75,0.25,0.5,1,1,0.25,0.5,0.25,1,0.75,0.5,0.75,0.75
Malawi,0,0.25,0.5,0.25,0.5,0.5,1,0.75,0.25,0.25,0.25,1,1,0.25,0.75,0.25
Malaysia,0,1,1,1,0.5,0.75,1,0.75,0.5,0.5,0,1,1,0.5,0,0.75
Maldives,0,0.5,0.75,1,1,0.75,1,0.5,0.25,0.25,0,0.25,0.5,0.25,0,0.75
Mali,0,1,0.75,0.5,0.5,0.75,1,0.5,0.25,0.25,0.25,1,0,0.25,0,0.75
Malta,0,0.75,0.25,0.25,0,0.25,0,1,0,0,0,0,0,0.5,0,0
Mauritania,0,0.5,1,1,1,0.75,0.75,1,0.75,0.75,0.25,1,1,0.25,0,0.75
Mauritius,0,0.5,0.5,0.75,0.5,0.5,1,0.25,0.25,0.25,0,0.25,0,0.25,0.75,0.75
Moldova,0,0.5,0.5,0,0,0.25,1,0,0,0.75,0,1,0,0,0,0
Mongolia,0,0.5,0.5,0.25,0,0.25,1,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25
Montenegro,0,0.5,0.5,0,0.25,0.25,1,0,0.25,0.25,0,1,0,0.25,0,0
Morocco,0,0.5,0.75,0.75,1,0.75,1,0.75,0.25,0.25,0.25,1,1,0.25,0.25,0.75
Mozambique,0,0.5,0.5,0,0.25,0.75,0.75,0,0.25,0,0,0,0.75,0.5,0,0
Myanmar,0,0.5,0.5,0.75,0.25,0.75,1,0.75,0.5,0.25,0,1,0.5,0.5,0.75,0.75
Namibia,0,0.5,0.5,0.25,0.25,0.25,1,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.75,0.25
Nepal,0,0.5,0.25,1,0.25,0.25,1,0,0.25,0.25,0.25,1,0.75,0.25,0,0.25
Nicaragua,0,0.5,0.5,0,0,0.25,1,1,0.25,0,0.25,0,0,0,0,0
Niger,0,0.5,0.75,1,1,0.75,0.25,0.75,0.25,0.75,1,1,0,0.25,0,0.75
Nigeria,0,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.25,0.5,0.25,1,0.75,0.5,0.75,0.25
Palestinian Authority or West Bank and Gaza Strip,0,0.75,1,1,1,0.75,1,0.5,0.75,0.75,0.25,1,1,0.25,0,0.75
Oman,0,0.5,1,1,1,0.75,1,0.75,0.25,0.25,0.25,1,1,0.75,0.75,0.75
Pakistan,0,1,0.75,0.75,1,0.5,1,0.75,0.5,0.5,0.25,1,0.75,0.25,0.75,0.75
Panama,0,0,0.5,0,0,0.25,1,0.5,0,0,0,1,0,0,0,0
Papua New Guinea,0,1,0.5,0.5,0.5,0.75,1,0.75,0.5,0.5,0.5,1,0,0.25,0,0.25
Paraguay,0,0.5,0.5,0.5,0.5,0.5,1,0.75,0.5,0.5,0,0,0.5,0,0,0
Peru,0,0.5,0.5,0.75,0.25,0.75,1,0.75,0,0,0,0,0,0,0,0
Philippines,0,0.5,0.75,1,0.5,0.75,0.25,0.75,1,1,0.25,0.5,0.75,0,0.75,0.25
Qatar,0,1,1,1,1,0.75,1,0.75,0,0,0,1,1,0.5,1,0.75
Romania,0,0.5,0.5,0.25,0,0.25,1,0,0,0,0,0.25,0,0.5,0,0
Russia,0,0.5,0.5,0,0,1,1,0,0,0,0,1,0,0.5,0,0.25
Rwanda,0,0.25,0.25,0.75,0.25,0.5,1,0.5,0.25,0.25,0.25,0.25,0,0.25,0,0.75
Samoa,0,1,0.5,0.25,0.25,0.75,1,0.75,0.75,0.5,0.25,0.25,0,0.25,0.75,0.25
Sao Tome and Principe,0,0.5,0.25,0,0,0.5,1,0,0,0,0.5,1,0,0.5,0,0.25
Saudi Arabia,0,0.75,1,1,1,0.75,1,0.75,0.25,0.25,0.25,1,1,0.25,1,0.75
Senegal,0,1,1,0.25,0.5,0.5,0.25,1,0.25,0,0,1,0,0,0,0
Serbia,0,0.5,0.5,0.25,0.25,0.25,1,0,0.25,0.25,0.25,0,0,0.25,0,0.25
Sierra Leone,0,0.5,0.5,0.75,0.5,0.5,1,0.75,0.5,0.5,0.25,1,0.75,0.25,0,0.25
Singapore,0,0.5,0.5,0,0.25,0.5,1,0,0,0,0,0.75,1,0.5,0,0
Solomon Islands,0,0.75,0.5,0.75,0.25,0.5,1,0.75,0.5,0.5,0.25,1,1,0.5,0.75,0.25
Somalia,0,0.5,1,1,0.5,0.5,0.75,0.75,0.25,0.25,0.25,1,1,0.25,0.25,0.75
South Africa,0,0.5,0.5,0.25,0.25,0.5,0.25,0,0.25,0.25,0,0.25,0.5,0.25,0,0
Sri Lanka,0,0.5,0.5,0.75,1,0.5,1,0.75,0.75,0.25,0,1,0,0.25,0,0.25
Sudan,0,0.75,1,1,1,0.75,0.25,0.5,1,0.5,0.25,1,0.75,0.25,1,0.75
South Sudan,0,0.75,0.75,0.75,0.25,0.75,0.25,0.75,0.5,0.25,0.25,1,0.25,0.25,0.25,0.25
Eswatini,0,0.5,0.5,0.75,0.75,0.75,1,0.75,1,0.75,0.25,0.75,0.75,0.25,0.25,0.75
Syrian Arab Republic,0,1,0.75,1,1,0.75,1,0.75,0.25,0.25,0.25,1,0.75,0.5,0.75,0.75
Tajikistan,0,0.5,0.5,0.75,0.25,0.75,1,0,0.25,0.25,0,1,0,0.5,0,0.25
Tanzania,0,1,0.75,0.75,1,0.75,0.5,0.5,0.25,0.5,0.25,0,0.75,0.25,0,0.25
Thailand,0,0.75,0.5,0.25,0,0.75,1,0.5,0.25,0.25,0,0.75,1,0.25,0,0.25
Timor-Leste,0,0.75,0.25,0.25,0.25,0.5,1,0.75,0.5,0.25,0.5,0.25,0,0.25,0,0.75
Togo,0,0.5,0.75,1,0.25,0.75,0.25,0.5,0.5,0.5,0,1,1,0.25,0.75,0.75
Trinidad and Tobago,0,0.25,0.5,0,0,0.75,0.75,0.75,0.25,0,0.25,0.75,0,0.5,0.75,0
Tunisia,0,0.5,1,0.75,1,0.5,1,0,0.25,0.25,0,1,1,0.25,0,0.75
Turkmenistan,0,0.25,0.5,0.25,0.25,0.75,0,0,0.25,0.5,0.25,1,0,0.5,0,0
Uganda,0,0.5,0.5,0.75,0.5,0.75,0.5,0.75,1,0.5,0.75,0.25,0,0.25,0.75,0.25
Ukraine,0,0.5,0.5,0,0,0.75,1,0,0,0,0.25,1,0,0.25,0,0.25
United Arab Emirates,0,0.5,1,1,1,0.75,1,0.75,0,0,0,1,1,0.5,0.75,0
Uruguay,0,0.75,0.5,0,0,0.75,1,0,0.25,0.25,0.25,0.75,0,0.25,0,0.25
Uzbekistan,0,1,0.5,0.25,0.25,0.75,1,0,0.25,0.25,0.25,1,0,0.25,0,0
Venezuela,0,0.5,0.5,0.75,0,0.25,1,0.75,0,0,0,0.75,0,0,0,0
Viet Nam,0,0.25,0.25,0.25,0.25,0.75,1,0,0.25,0.25,0.25,1,0,0,0,0
Yemen,0,0.75,1,1,1,0.75,1,0.75,0.25,0,0,1,1,0.5,1,0.75
Zambia,0,0.5,0.5,0.25,0.5,0.5,0.75,0.75,0.25,0,0.25,0.75,0,0.5,0.75,0.75
Zimbabwe,0,0.5,0.75,0.25,0.25,0.5,0,0.5,0.25,0.25,0.5,0.75,0.25,0.25,0,0.75
